"Nom de la Station","FORT NELSON"
"Province","COLOMBIE-BRITANNIQUE"
"Latitude","58,84"
"Longitude","-122,57"
"Altitude","380,20"
"ID climatologique","1192948"
"ID de l'OMM","71594"
"ID de TC","VFN"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"E","Valeur estimée"
"M","Données manquantes"
"ND","Non disponible"

"Date/Heure","Année","Mois","Jour","Heure","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2017-01-01 00:00","2017","01","01","00:00","-7,3","","-12,3","","67","","32","","12","","","","98,12","","","","-13","","ND"
"2017-01-01 01:00","2017","01","01","01:00","-7,5","","-12,5","","68","","32","","11","","","","98,14","","","","-13","","ND"
"2017-01-01 02:00","2017","01","01","02:00","-9,5","","-12,8","","77","","29","","1","","","","98,16","","","","-10","","ND"
"2017-01-01 03:00","2017","01","01","03:00","-11,7","","-13,5","","86","","0","","1","","","","98,17","","","","-12","","ND"
"2017-01-01 04:00","2017","01","01","04:00","-12,8","","-15,1","","83","","11","","2","","","","98,18","","","","-14","","ND"
"2017-01-01 05:00","2017","01","01","05:00","-12,6","","-13,9","","90","","","","0","","","","98,13","","","","","","ND"
"2017-01-01 06:00","2017","01","01","06:00","-15,0","","-16,3","","90","","25","","4","","","","98,11","","","","-18","","ND"
"2017-01-01 07:00","2017","01","01","07:00","-17,5","","-19,2","","86","","29","","3","","","","98,12","","","","-20","","ND"
"2017-01-01 08:00","2017","01","01","08:00","-15,7","","-17,0","","90","","27","","1","","","","98,12","","","","-16","","ND"
"2017-01-01 09:00","2017","01","01","09:00","-14,4","","-15,4","","92","","18","","1","","","","98,05","","","","-15","","ND"
"2017-01-01 10:00","2017","01","01","10:00","-15,6","","-17,1","","89","","30","","3","","","","98,06","","","","-18","","ND"
"2017-01-01 11:00","2017","01","01","11:00","-15,0","","-16,6","","87","","17","","3","","","","98,05","","","","-17","","ND"
"2017-01-01 12:00","2017","01","01","12:00","-14,0","","-15,5","","88","","20","","6","","","","97,98","","","","-18","","ND"
"2017-01-01 13:00","2017","01","01","13:00","-13,9","","-15,4","","88","","19","","8","","","","97,90","","","","-19","","ND"
"2017-01-01 14:00","2017","01","01","14:00","-12,6","","-14,3","","87","","19","","8","","","","97,86","","","","-18","","ND"
"2017-01-01 15:00","2017","01","01","15:00","-11,6","","-13,8","","84","","20","","7","","","","97,80","","","","-16","","ND"
"2017-01-01 16:00","2017","01","01","16:00","-11,5","","-13,5","","85","","20","","4","","","","97,81","","","","-14","","ND"
"2017-01-01 17:00","2017","01","01","17:00","-11,6","","-13,5","","86","","27","","2","","","","97,83","","","","-13","","ND"
"2017-01-01 18:00","2017","01","01","18:00","-11,9","","-13,4","","89","","36","","2","","","","97,82","","","","-13","","ND"
"2017-01-01 19:00","2017","01","01","19:00","-11,2","","-12,9","","88","","","","0","","","","97,88","","","","","","ND"
"2017-01-01 20:00","2017","01","01","20:00","-9,8","","-11,6","","87","","36","","3","","","","97,96","","","","-12","","ND"
