"Nom de la Station","FORT NELSON"
"Province","COLOMBIE-BRITANNIQUE"
"Opérateur de station opérationnelle","Environnement et Changement climatique Canada - Service météorologique du Canada"
"Latitude","58,84"
"Longitude","-122,57"
"Altitude","380,20"
"ID climatologique","1192948"
"ID de l'OMM","71594"
"ID de TC","VFN"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"E","Valeur estimée"
"M","Données manquantes"
"ND","Non disponible"

"Date/Heure","Année","Mois","Jour","Heure","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2019-04-01 00:00","2019","04","01","00:00","1,6","","-6,7","","54","","21","","13","","","","97,88","","","","","","ND"
"2019-04-01 01:00","2019","04","01","01:00","0,7","","-7,0","","57","","19","","7","","","","97,87","","","","","","ND"
"2019-04-01 02:00","2019","04","01","02:00","0,2","","-6,9","","59","","17","","4","","","","97,91","","","","","","ND"
"2019-04-01 03:00","2019","04","01","03:00","1,5","","-7,3","","52","","36","","13","","","","98,01","","","","","","ND"
"2019-04-01 04:00","2019","04","01","04:00","0,5","","-6,0","","62","","1","","13","","","","98,13","","","","","","ND"
"2019-04-01 05:00","2019","04","01","05:00","-0,3","","-5,0","","71","","33","","4","","","","98,24","","","","-2","","ND"
"2019-04-01 06:00","2019","04","01","06:00","-1,7","","-5,2","","77","","0","","1","","","","98,26","","","","-2","","ND"
"2019-04-01 07:00","2019","04","01","07:00","-0,4","","-4,4","","74","","28","","2","","","","98,25","","","","-1","","ND"
"2019-04-01 08:00","2019","04","01","08:00","2,3","","-3,8","","64","","31","","3","","","","98,23","","","","","","ND"
"2019-04-01 09:00","2019","04","01","09:00","3,1","","-4,8","","56","","5","","5","","","","98,21","","","","","","ND"
"2019-04-01 10:00","2019","04","01","10:00","3,9","","-5,1","","52","","8","","6","","","","98,18","","","","","","ND"
"2019-04-01 11:00","2019","04","01","11:00","5,0","","-4,7","","49","","4","","7","","","","98,13","","","","","","ND"
"2019-04-01 12:00","2019","04","01","12:00","5,3","","-6,0","","44","","11","","5","","","","98,08","","","","","","ND"
"2019-04-01 13:00","2019","04","01","13:00","6,0","","-5,1","","45","","7","","7","","","","97,98","","","","","","ND"
"2019-04-01 14:00","2019","04","01","14:00","6,5","","-5,2","","43","","9","","5","","","","97,92","","","","","","ND"
"2019-04-01 15:00","2019","04","01","15:00","7,2","","-5,1","","41","","2","","5","","","","97,84","","","","","","ND"
"2019-04-01 16:00","2019","04","01","16:00","7,4","","-5,4","","40","","7","","5","","","","97,75","","","","","","ND"
"2019-04-01 17:00","2019","04","01","17:00","6,8","","-4,7","","44","","6","","8","","","","97,69","","","","","","ND"
"2019-04-01 18:00","2019","04","01","18:00","5,8","","-4,4","","48","","5","","7","","","","97,70","","","","","","ND"
"2019-04-01 19:00","2019","04","01","19:00","5,1","","-4,1","","51","","6","","10","","","","97,73","","","","","","ND"
"2019-04-01 20:00","2019","04","01","20:00","2,3","","-0,4","","83","","5","","13","","","","97,80","","","","","","ND"
"2019-04-01 21:00","2019","04","01","21:00","0,6","","-0,1","","95","","5","","10","","","","97,88","","","","","","ND"
"2019-04-01 22:00","2019","04","01","22:00","0,3","","-0,1","","97","","3","","4","","","","97,90","","","","","","ND"
